Task,Assignee,Status,Deadline,Priority
Develop login API,Rahul,In Progress,2026-09-10,High
Design database schema,Amit,Completed,2026-08-25,High
Create student dashboard UI,Priya,In Progress,2026-09-15,Medium
Write unit tests for auth module,Sneha,Not Started,2026-09-20,Medium
Implement QR attendance scanner,Rahul,Not Started,2026-09-25,High
Setup CI/CD pipeline,Amit,In Progress,2026-09-05,Low
Create SRS document,Sneha,Completed,2026-08-20,High
Integrate notification service,Priya,Not Started,2026-10-01,Medium
Performance testing,Sneha,Not Started,2026-10-10,High
Deploy to staging environment,Amit,Not Started,2026-10-15,High
